,images,masks,collages
0,images/0_00030.png,masks/0_00030.png,collages/0_00030.jpg
1,images/0_00180.png,masks/0_00180.png,collages/0_00180.jpg
2,images/0_00330.png,masks/0_00330.png,collages/0_00330.jpg
3,images/0_00360.png,masks/0_00360.png,collages/0_00360.jpg
4,images/0_00420.png,masks/0_00420.png,collages/0_00420.jpg
5,images/101_00060.png,masks/101_00060.png,collages/101_00060.jpg
6,images/101_00090.png,masks/101_00090.png,collages/101_00090.jpg
7,images/101_00120.png,masks/101_00120.png,collages/101_00120.jpg
8,images/101_00150.png,masks/101_00150.png,collages/101_00150.jpg
9,images/101_00330.png,masks/101_00330.png,collages/101_00330.jpg
10,images/102_00060.png,masks/102_00060.png,collages/102_00060.jpg
11,images/102_00360.png,masks/102_00360.png,collages/102_00360.jpg
12,images/103_00120.png,masks/103_00120.png,collages/103_00120.jpg
13,images/103_00150.png,masks/103_00150.png,collages/103_00150.jpg
14,images/103_00210.png,masks/103_00210.png,collages/103_00210.jpg
15,images/103_00450.png,masks/103_00450.png,collages/103_00450.jpg
16,images/104_00030.png,masks/104_00030.png,collages/104_00030.jpg
17,images/104_00060.png,masks/104_00060.png,collages/104_00060.jpg
18,images/104_00090.png,masks/104_00090.png,collages/104_00090.jpg
19,images/104_00120.png,masks/104_00120.png,collages/104_00120.jpg
20,images/104_00150.png,masks/104_00150.png,collages/104_00150.jpg
21,images/104_00180.png,masks/104_00180.png,collages/104_00180.jpg
22,images/104_00210.png,masks/104_00210.png,collages/104_00210.jpg
23,images/104_00270.png,masks/104_00270.png,collages/104_00270.jpg
24,images/104_00300.png,masks/104_00300.png,collages/104_00300.jpg
25,images/104_00330.png,masks/104_00330.png,collages/104_00330.jpg
26,images/104_00360.png,masks/104_00360.png,collages/104_00360.jpg
27,images/104_00390.png,masks/104_00390.png,collages/104_00390.jpg
28,images/104_00420.png,masks/104_00420.png,collages/104_00420.jpg
29,images/104_00450.png,masks/104_00450.png,collages/104_00450.jpg
30,images/105_00030.png,masks/105_00030.png,collages/105_00030.jpg
31,images/106_00030.png,masks/106_00030.png,collages/106_00030.jpg
32,images/106_00090.png,masks/106_00090.png,collages/106_00090.jpg
33,images/106_00180.png,masks/106_00180.png,collages/106_00180.jpg
34,images/106_00270.png,masks/106_00270.png,collages/106_00270.jpg
35,images/106_00300.png,masks/106_00300.png,collages/106_00300.jpg
36,images/106_00330.png,masks/106_00330.png,collages/106_00330.jpg
37,images/106_00360.png,masks/106_00360.png,collages/106_00360.jpg
38,images/106_00390.png,masks/106_00390.png,collages/106_00390.jpg
39,images/107_00360.png,masks/107_00360.png,collages/107_00360.jpg
40,images/108_00120.png,masks/108_00120.png,collages/108_00120.jpg
41,images/108_00150.png,masks/108_00150.png,collages/108_00150.jpg
42,images/108_00180.png,masks/108_00180.png,collages/108_00180.jpg
43,images/108_00210.png,masks/108_00210.png,collages/108_00210.jpg
44,images/108_00240.png,masks/108_00240.png,collages/108_00240.jpg
45,images/108_00270.png,masks/108_00270.png,collages/108_00270.jpg
46,images/108_00300.png,masks/108_00300.png,collages/108_00300.jpg
47,images/108_00330.png,masks/108_00330.png,collages/108_00330.jpg
48,images/108_00360.png,masks/108_00360.png,collages/108_00360.jpg
49,images/108_00390.png,masks/108_00390.png,collages/108_00390.jpg
50,images/108_00420.png,masks/108_00420.png,collages/108_00420.jpg
51,images/108_00450.png,masks/108_00450.png,collages/108_00450.jpg
52,images/10_00090.png,masks/10_00090.png,collages/10_00090.jpg
