epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1136.48,0.59677,0.92954,1.03435,0.94674,0,0.90905,0.90864,0.95419,0.77513,0.90543,0.90454,0.95107,0.71723,0.64958,1.10508,0.96556,0.98811,0,0.000664122,0.000664122,0.000664122
2,2146.11,0.71991,1.04272,0.81011,1.00208,0,0.94151,0.94692,0.98344,0.81747,0.94859,0.9538,0.98588,0.80776,0.62301,0.73404,0.6682,0.99282,0,0.00130444,0.00130444,0.00130444
3,7680.38,0.73711,1.08566,0.71279,1.00392,0,0.93524,0.92671,0.97034,0.79975,0.93344,0.92493,0.97115,0.69867,0.65924,1.23733,0.61475,1.01189,0,0.00191836,0.00191836,0.00191836
4,12494.9,0.73094,1.10943,0.65107,1.00245,0,0.94499,0.96078,0.98013,0.80026,0.94499,0.96078,0.98008,0.79473,0.60009,0.74531,0.55816,0.97308,0,0.0018812,0.0018812,0.0018812
5,13850.2,0.69061,1.02632,0.59863,0.985,0,0.95666,0.95187,0.98247,0.81951,0.95799,0.94474,0.97595,0.79139,0.60343,0.79531,0.47099,0.96928,0,0.0018416,0.0018416,0.0018416
6,15326.6,0.65503,0.95908,0.55327,0.98161,0,0.96467,0.96078,0.98505,0.81994,0.96488,0.96078,0.98677,0.82688,0.64208,0.69326,0.47107,0.95629,0,0.001802,0.001802,0.001802
7,16895.5,0.6382,0.95805,0.53553,0.96559,0,0.97485,0.96741,0.98913,0.87193,0.96786,0.96632,0.9891,0.83948,0.508,0.64298,0.40566,0.89724,0,0.0017624,0.0017624,0.0017624
8,18711.1,0.61114,0.94776,0.51932,0.94998,0,0.96464,0.96613,0.98789,0.87808,0.97164,0.97699,0.98951,0.84139,0.46573,0.65479,0.41287,0.8854,0,0.0017228,0.0017228,0.0017228
9,20300.2,0.58648,0.91083,0.49251,0.943,0,0.95554,0.96791,0.98571,0.89677,0.95717,0.9697,0.98594,0.84291,0.44896,0.64164,0.39697,0.88159,0,0.0016832,0.0016832,0.0016832
10,21819.1,0.56448,0.88595,0.47039,0.93009,0,0.97566,0.96257,0.9912,0.90882,0.95311,0.97832,0.99054,0.86841,0.43017,0.57596,0.36364,0.86724,0,0.0016436,0.0016436,0.0016436
11,23222.3,0.56215,0.88609,0.46164,0.93844,0,0.97739,0.96613,0.99193,0.9066,0.97739,0.96613,0.99195,0.84257,0.4314,0.65349,0.35393,0.88703,0,0.001604,0.001604,0.001604
12,24599.9,0.559,0.87111,0.44934,0.93183,0,0.98227,0.98774,0.99296,0.92414,0.98506,0.98752,0.99319,0.87174,0.39822,0.57273,0.3263,0.86033,0,0.0015644,0.0015644,0.0015644
13,25804.8,0.51363,0.82964,0.41838,0.91743,0,0.98387,0.97828,0.99322,0.93271,0.98291,0.97861,0.99338,0.88052,0.38402,0.55388,0.31175,0.8597,0,0.0015248,0.0015248,0.0015248
14,26928.1,0.50938,0.81371,0.41648,0.92269,0,0.97357,0.98478,0.99345,0.92815,0.97082,0.98396,0.99277,0.86788,0.37809,0.57757,0.31284,0.85543,0,0.0014852,0.0014852,0.0014852
15,28013.3,0.5068,0.80954,0.41686,0.9184,0,0.97705,0.98635,0.99256,0.92786,0.98058,0.98991,0.99345,0.85881,0.38453,0.63275,0.29952,0.85897,0,0.0014456,0.0014456,0.0014456
16,29121.2,0.49732,0.80841,0.39924,0.91785,0,0.9803,0.98039,0.99348,0.93333,0.98208,0.98217,0.99301,0.88215,0.36804,0.51937,0.30063,0.85131,0,0.001406,0.001406,0.001406
17,1276.84,0.54568,0.7775,0.51957,0.94746,0,0.98521,0.98574,0.99387,0.93662,0.98051,0.98619,0.99384,0.88478,0.36553,0.52305,0.30908,0.84427,0,0.0013664,0.0013664,0.0013664
18,2471.76,0.48163,0.75861,0.39646,0.91515,0,0.97573,0.98752,0.9941,0.93924,0.97524,0.98277,0.99374,0.88618,0.3581,0.52682,0.2882,0.83813,0,0.0013268,0.0013268,0.0013268
19,3685.22,0.48074,0.77778,0.38908,0.91019,0,0.98396,0.98408,0.99361,0.93717,0.98039,0.98051,0.99279,0.88758,0.34275,0.5219,0.28239,0.83632,0,0.0012872,0.0012872,0.0012872
20,4859.17,0.45932,0.76328,0.3726,0.90224,0,0.98572,0.98444,0.99409,0.94204,0.98751,0.98622,0.99436,0.89008,0.3647,0.52218,0.28162,0.84071,0,0.0012476,0.0012476,0.0012476
21,6335.18,0.44789,0.73073,0.36398,0.89542,0,0.98863,0.98752,0.99454,0.94403,0.98952,0.9893,0.99468,0.89327,0.34238,0.51259,0.25533,0.83279,0,0.001208,0.001208,0.001208
22,7196.4,0.44122,0.72716,0.35603,0.9019,0,0.984,0.9893,0.99451,0.94521,0.984,0.9893,0.99451,0.88402,0.34356,0.52767,0.26337,0.82958,0,0.0011684,0.0011684,0.0011684
23,8065.5,0.44402,0.72949,0.35755,0.8991,0,0.98572,0.9843,0.99374,0.94802,0.98572,0.9843,0.99374,0.89022,0.31555,0.50166,0.25825,0.82146,0,0.0011288,0.0011288,0.0011288
24,8930.97,0.42865,0.71977,0.34611,0.88787,0,0.99312,0.9893,0.99437,0.95428,0.98954,0.98574,0.99394,0.8904,0.32209,0.49996,0.2577,0.82557,0,0.0010892,0.0010892,0.0010892
25,9804.91,0.42214,0.70781,0.33119,0.8866,0,0.98354,0.98752,0.9942,0.95685,0.98301,0.98752,0.99383,0.8901,0.30515,0.51399,0.25012,0.82187,0,0.0010496,0.0010496,0.0010496
26,10673.6,0.41044,0.6978,0.33011,0.87812,0,0.98563,0.98752,0.99411,0.95086,0.98741,0.9893,0.99432,0.89801,0.32409,0.49667,0.24911,0.82588,0,0.00101,0.00101,0.00101
27,11714.3,0.41953,0.69055,0.33027,0.8897,0,0.99056,0.98752,0.99441,0.95367,0.99056,0.98752,0.99441,0.89824,0.33092,0.49611,0.24935,0.82259,0,0.0009704,0.0009704,0.0009704
28,12859.4,0.4,0.68192,0.32429,0.87818,0,0.98684,0.9893,0.99407,0.95955,0.98684,0.9893,0.9944,0.89183,0.30183,0.51127,0.23927,0.81604,0,0.0009308,0.0009308,0.0009308
29,13900.9,0.38518,0.6721,0.3057,0.87497,0,0.98755,0.98942,0.99467,0.96806,0.98577,0.98764,0.9944,0.90382,0.28971,0.47143,0.23002,0.81412,0,0.0008912,0.0008912,0.0008912
30,14767.1,0.3852,0.66144,0.30652,0.87719,0,0.99458,0.99109,0.99469,0.96316,0.99276,0.9893,0.99462,0.90455,0.30027,0.48521,0.22749,0.8126,0,0.0008516,0.0008516,0.0008516
31,15624.2,0.37983,0.65241,0.30274,0.87587,0,0.99103,0.98499,0.99468,0.9679,0.98924,0.98321,0.9898,0.9029,0.26877,0.46869,0.21573,0.80477,0,0.000812,0.000812,0.000812
32,16514.8,0.37864,0.63777,0.28898,0.87595,0,0.99109,0.9909,0.99456,0.96677,0.99109,0.9909,0.99456,0.90955,0.27854,0.45769,0.21576,0.80978,0,0.0007724,0.0007724,0.0007724
33,17383.2,0.38421,0.6627,0.30381,0.87948,0,0.98927,0.9859,0.99442,0.96946,0.99106,0.98768,0.99468,0.91301,0.26926,0.46683,0.22006,0.81115,0,0.0007328,0.0007328,0.0007328
34,18406.1,0.36862,0.64357,0.29908,0.87004,0,0.99582,0.98574,0.99446,0.96315,0.99582,0.98574,0.99446,0.8962,0.28149,0.46624,0.21263,0.82008,0,0.0006932,0.0006932,0.0006932
35,19352.4,0.36775,0.66848,0.29613,0.87232,0,0.99456,0.98752,0.99486,0.96332,0.99456,0.98752,0.99486,0.90512,0.27093,0.45236,0.20751,0.80954,0,0.0006536,0.0006536,0.0006536
36,20238,0.37163,0.64813,0.29368,0.87087,0,0.99462,0.98924,0.99487,0.96672,0.99462,0.98924,0.99487,0.91048,0.26151,0.4403,0.21104,0.79894,0,0.000614,0.000614,0.000614
37,21142.1,0.3589,0.64232,0.27985,0.87172,0,0.98896,0.99109,0.99482,0.97067,0.98896,0.99109,0.99482,0.91198,0.25989,0.44853,0.20827,0.80345,0,0.0005744,0.0005744,0.0005744
38,22039.4,0.34966,0.63253,0.2725,0.86946,0,0.98905,0.98752,0.99449,0.97318,0.99083,0.9893,0.99477,0.91592,0.26449,0.44051,0.20527,0.8021,0,0.0005348,0.0005348,0.0005348
39,22936.4,0.35474,0.6322,0.27965,0.86688,0,0.98232,0.9904,0.99347,0.97155,0.98232,0.9904,0.99347,0.91699,0.25184,0.44713,0.20294,0.80413,0,0.0004952,0.0004952,0.0004952
40,23831.5,0.34403,0.61768,0.27255,0.86099,0,0.98749,0.99287,0.99471,0.97152,0.98749,0.99287,0.99484,0.91334,0.2464,0.4444,0.19758,0.79516,0,0.0004556,0.0004556,0.0004556
41,24692.5,0.28588,0.47828,0.21436,0.82273,0,0.9945,0.99109,0.99491,0.96664,0.9945,0.99109,0.99491,0.91111,0.28057,0.4555,0.20496,0.8039,0,0.000416,0.000416,0.000416
42,25543.8,0.27683,0.47056,0.20863,0.82151,0,0.99246,0.9893,0.99421,0.97554,0.99246,0.9893,0.99343,0.91799,0.26141,0.43887,0.20893,0.80175,0,0.0003764,0.0003764,0.0003764
43,26432.7,0.26738,0.4609,0.2038,0.81701,0,0.99283,0.98776,0.99473,0.97585,0.99104,0.98598,0.99004,0.91514,0.25143,0.44358,0.19346,0.80321,0,0.0003368,0.0003368,0.0003368
44,27389.4,0.25827,0.45143,0.19401,0.81163,0,0.99486,0.98752,0.99469,0.9793,0.99665,0.9893,0.99495,0.92509,0.24368,0.43919,0.19243,0.78921,0,0.0002972,0.0002972,0.0002972
